household_id,yearly_peak_kW
MAC004993_119,14.131953851008571
MAC005061_121,10.185087070122629
MAC004876_116,9.993817639861216
MAC004944_118,9.667812061202536
MAC004996_119,9.660371773721884
MAC004894_116,9.28930914781828
MAC004892_116,9.234352484391868
MAC005119_122,8.945163587732825
MAC004908_117,8.94409144292953
MAC004922_117,8.239593993606594
MAC005029_120,7.985412235834884
MAC005008_120,7.952463189664964
MAC004884_116,7.883364169664326
MAC005044_121,7.767684448596778
MAC004950_118,7.572536109917811
MAC005047_121,7.502505474944666
MAC004958_118,7.346877864787165
MAC004888_116,7.145903129700599
MAC005041_120,6.965439564730849
MAC005103_122,6.746254974473835
MAC004978_119,6.683576120882661
MAC004858_115,6.552265751421159
MAC004901_116,6.458937231482282
MAC005009_120,6.454447487805242
MAC005117_122,6.392409822289412
MAC004900_116,6.382550118314467
MAC005133_122,6.342579084152945
MAC005123_122,6.307473264834825
MAC005001_119,6.299256199255577
MAC004976_119,6.14967029697022
MAC004991_119,6.080149003142612
MAC005077_121,6.05661398910469
MAC004852_115,5.928560325571524
MAC004983_119,5.886373832580336
MAC004925_117,5.765243670851652
MAC004897_116,5.764792315043559
MAC004995_119,5.734199727823997
MAC004890_116,5.713945413030571
MAC004847_115,5.692346661897631
MAC004947_118,5.616873810659119
MAC004997_119,5.580693773013861
MAC004877_116,5.541790889564656
MAC005101_122,5.469945332309753
MAC005089_122,5.418284790664586
MAC004902_116,5.363210694742511
MAC004861_115,5.362743319911072
MAC004923_117,5.321941193923405
MAC005096_122,5.286754814149257
MAC005048_121,5.235504406221703
MAC005100_122,5.213966628889964
MAC004903_116,5.209778435092191
MAC004954_118,5.028583571035335
MAC005050_121,4.997124161696667
MAC004870_115,4.97142500808043
MAC004859_115,4.92352687003861
MAC005075_121,4.921130938604318
MAC004868_115,4.876108195592925
MAC005036_120,4.873778331553565
MAC004843_115,4.807796975175972
MAC005042_120,4.728827911513026
MAC004920_117,4.706959629529532
MAC004895_116,4.692963176177322
MAC005078_121,4.65215036069977
MAC004919_117,4.627739947207861
MAC004854_115,4.57751436159387
MAC004863_115,4.529723982074585
MAC005015_120,4.515771668164064
MAC004959_118,4.430293593290149
MAC005021_120,4.404199282762908
MAC005116_122,4.394133978128142
MAC004881_116,4.366603306070664
MAC004873_115,4.359000154657892
MAC005107_122,4.3396691243870045
MAC005020_120,4.331058443954356
MAC004970_118,4.330804318771004
MAC004953_118,4.265648058052016
MAC004943_118,4.2546923290459215
MAC004985_119,4.235016028046172
MAC004872_115,4.216939532032001
MAC005052_121,4.2062449419071495
MAC004879_116,4.08217895406275
MAC004844_115,4.041282886456915
MAC004865_115,4.019667951252612
MAC004980_119,3.9915649555885575
MAC004878_116,3.988521627485815
MAC005058_121,3.9602249926442057
MAC005028_120,3.959166610076655
MAC004982_119,3.953926066230344
MAC004873_116,3.942226401998663
MAC004945_118,3.895921072755287
MAC004929_117,3.873056639146726
MAC004886_116,3.8606997012883686
MAC004853_115,3.750007987281247
MAC004928_117,3.7390139550639567
MAC005074_121,3.685126297400654
MAC005019_120,3.677149950823018
MAC004999_119,3.663110111693431
MAC004971_118,3.638587479047024
MAC004911_117,3.631551327271012
MAC004936_118,3.606409378064888
MAC004989_119,3.6058176817743024
MAC005088_122,3.543111442118256
MAC005115_122,3.541089649895195
MAC005027_120,3.5239829473461453
MAC004940_118,3.521432722536562
MAC004986_119,3.5110334079358214
MAC005067_121,3.50065560310672
MAC005092_122,3.4942514224446013
MAC005097_122,3.486533290260208
MAC004909_117,3.479475592998313
MAC004899_116,3.4293420665610306
MAC005066_121,3.388524728546966
MAC004869_115,3.3663618216967555
MAC005002_119,3.354711940923311
MAC005043_120,3.3271168581004065
MAC005064_121,3.3114027302160336
MAC005120_122,3.30153057621442
MAC005060_121,3.2782559808190213
MAC004942_118,3.277008430464324
MAC004889_116,3.262632179597542
MAC005054_121,3.2490719923848186
MAC005026_120,3.2341735994105543
MAC004975_119,3.2064544753937634
MAC004935_117,3.15830360799521
MAC004866_115,3.1542236920016515
MAC004987_119,3.153458366551709
MAC004862_115,3.152207449749663
MAC005090_122,3.127704523496256
MAC005118_122,3.119776984097519
MAC005072_121,3.100220597593383
MAC005005_119,3.031099347172596
MAC004918_117,3.0220089727711343
MAC004961_118,3.0201851167023426
MAC005043_121,3.0199337320247457
MAC005108_122,3.000234981286764
MAC004882_116,2.9970445737419382
MAC004887_116,2.9774240936188843
MAC005063_121,2.876651661670385
MAC004850_115,2.872264648613904
MAC005038_120,2.838900289828498
MAC004898_116,2.820804353824076
MAC004857_115,2.7778880450857737
MAC005056_121,2.769711820205912
MAC005113_122,2.7574621752281985
MAC005081_121,2.7455379149622194
MAC004848_115,2.7261084739076624
MAC005007_120,2.715096110333148
MAC004934_117,2.7139551616714126
MAC004960_118,2.708367973272315
MAC005045_121,2.68097247745462
MAC005126_122,2.6799127024537714
MAC005032_120,2.66595450945143
MAC004914_117,2.653582077794709
MAC005129_122,2.6534112091712707
MAC004875_116,2.6454314914881367
MAC004973_118,2.635010965099416
MAC004927_117,2.618449908828797
MAC004957_118,2.538094092845627
MAC004915_117,2.4896854320648707
MAC004974_119,2.480514559773224
MAC005130_122,2.469977990277504
MAC004871_115,2.468443711697086
MAC004984_119,2.458550455774164
MAC005025_120,2.445913610342122
MAC005035_120,2.443975959089217
MAC004964_118,2.43462679202129
MAC004864_115,2.428593021492782
MAC004938_118,2.4218914741578166
MAC005086_121,2.421880521231271
MAC005065_121,2.407696698991879
MAC005024_120,2.396291376951851
MAC004874_116,2.355737921781681
MAC005079_121,2.350347985209164
MAC004930_117,2.327691449990017
MAC004924_117,2.3258338220094186
MAC004946_118,2.2438679334490668
MAC005016_120,2.2418393960747838
MAC004973_119,2.240941331487707
MAC004846_115,2.228832336273111
MAC005073_121,2.22631405229158
MAC005018_120,2.1443168621843096
MAC004992_119,2.141135896707582
MAC005055_121,2.139261821435171
MAC005084_121,2.111849700137346
MAC004913_117,2.102086301504821
MAC004891_116,2.101497335011578
MAC004933_117,2.0618383775971054
MAC005004_119,2.0525394693465744
MAC005098_122,2.047185778834397
MAC005132_122,2.030756082818693
MAC004907_117,2.0273463130329263
MAC004994_119,2.025108082340888
MAC005128_122,1.9900507335120992
MAC004860_115,1.95922944274905
MAC005000_119,1.9432400717712972
MAC004905_117,1.9339184400011948
MAC004963_118,1.9153531211768933
MAC004967_118,1.9060109663476896
MAC004916_117,1.896349446716038
MAC005082_121,1.891975742773401
MAC004962_118,1.8846391121774453
MAC005049_121,1.8341047926120544
MAC005033_120,1.827213462669976
MAC005087_122,1.8250662805499345
MAC004998_119,1.821864334072527
MAC004972_118,1.819729708576452
MAC005030_120,1.81879826288642
MAC004867_115,1.806781042057588
MAC005014_120,1.7848770213594802
MAC005114_122,1.7836064208327875
MAC005051_121,1.7741124176132177
MAC005095_122,1.7719112031697697
MAC004931_117,1.7703609115347123
MAC004966_118,1.7490600258974554
MAC005125_122,1.7227806798464842
MAC004885_116,1.7220523471637488
MAC005037_120,1.7185430686720424
MAC005105_122,1.7153787588790894
MAC004856_115,1.7007852736147435
MAC004849_115,1.6730490898367378
MAC005040_120,1.6432060237104331
MAC004906_117,1.640579968707558
MAC005109_122,1.63047202023823
MAC005094_122,1.626712538575347
MAC004941_118,1.5808256000601515
MAC005003_119,1.5558733475840834
MAC004912_117,1.5047616541141116
MAC005010_120,1.473635682330258
MAC004981_119,1.4716519156867396
MAC004951_118,1.382629937223664
MAC005131_122,1.3740804684092862
MAC004845_115,1.3437594705666362
MAC005053_121,1.2958841595187789
MAC005071_121,1.2861193076953308
MAC005104_122,1.2051180929462748
MAC005112_122,1.1027938062269171
MAC004896_116,0.9423160139559776
MAC004904_117,0.8346326673067802
MAC005046_121,0.8169196259094521
MAC004939_118,0.4430162700845924
